idx,time,x,y,z,angle1,angle2,angle3,target_x,target_y,target_z,target_angle1,target_angle2,target_angle3
13,14:50:38,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:39,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:39,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:40,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:41,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:41,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:42,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:42,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:43,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:43,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:44,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:45,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:45,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:46,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:46,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:47,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:47,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:48,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:49,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:49,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:50,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:50,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:51,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:51,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:52,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:52,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:53,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:54,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:54,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:55,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:55,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:56,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:56,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
